iter	Passed	Remaining
0	13	1293
1	25	1271
2	32	1046
3	39	950
4	45	869
5	52	825
6	59	793
7	72	828
8	77	785
9	83	748
10	91	739
11	98	719
12	103	693
13	107	662
14	112	636
15	119	625
16	123	603
17	129	591
18	135	577
19	140	560
20	146	552
21	151	537
22	156	522
23	164	520
24	168	504
25	174	495
26	180	487
27	184	474
28	190	467
29	194	454
30	199	443
31	208	443
32	212	431
33	220	427
34	227	423
35	235	418
36	245	417
37	252	412
38	260	407
39	265	398
40	270	389
41	276	381
42	280	372
43	283	361
44	289	353
45	293	344
46	300	338
47	305	330
48	309	322
49	315	315
50	321	308
51	326	301
52	332	294
53	337	287
54	349	286
55	358	281
56	362	273
57	366	265
58	371	258
59	376	250
60	382	244
61	388	238
62	395	232
63	402	226
64	413	222
65	419	216
66	425	209
67	430	202
68	437	196
69	452	193
70	458	187
71	464	180
72	471	174
73	482	169
74	489	163
75	495	156
76	500	149
77	505	142
78	508	135
79	513	128
80	518	121
81	526	115
82	531	108
83	537	102
84	542	95
85	547	89
86	553	82
87	558	76
88	563	69
89	570	63
90	575	56
91	581	50
92	586	44
93	591	37
94	598	31
95	602	25
96	609	18
97	622	12
98	628	6
99	633	0
